sentence_id,text,aspect_terms,aspect_categories
2771#1,Juda yaxshi ovqat va kayfiyat,"[{'from': 21, 'polarity': 'positive', 'term': 'kayfiyat', 'to': 29}
 {'from': 12, 'polarity': 'positive', 'term': 'ovqat', 'to': 17}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'boshqalar', 'polarity': 'positive'}]"
854#1,Super👍👍👍,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
970#5,"Oziq-ovqat xavfsizligi juda qulay, chunki u ertalab pishirilganga o'xshaydi.","[{'from': 0, 'polarity': 'positive', 'term': 'Oziq-ovqat', 'to': 10}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1464#2,"Avtoturargoh mavjud emas, siz yo'l bo'ylab to'xtashingiz mumkin.","[{'from': 0, 'polarity': 'negative', 'term': 'Avtoturargoh', 'to': 12}]","[{'category': 'muhit', 'polarity': 'negative'}]"
811#1,Mazali o'zbek oshi,"[{'from': 14, 'polarity': 'positive', 'term': 'oshi', 'to': 18}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2734#1,Ummon Restaurant,"[{'from': 0, 'polarity': 'neutral', 'term': 'Ummon Restaurant', 'to': 16}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
2428#4,"Juda mazali, xushmuomala, e'tiborli, menga juda yoqadi, bu joy chiroyli shinam musiqa zo'r!","[{'from': 79, 'polarity': 'positive', 'term': 'musiqa', 'to': 85}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2610#5,Bunga arziydi.,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
483#1,Hurmat bilan juda qulay,[],"[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
1421#2,Buni shu yerda tushuning.,"[{'from': 9, 'polarity': 'neutral', 'term': 'yerda', 'to': 14}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
837#2,Oshxona,"[{'from': 0, 'polarity': 'neutral', 'term': 'Oshxona', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
2712#2,"Ovqat, atmosfera, hamma narsa a'lo darajada yaratilgan!","[{'from': 0, 'polarity': 'positive', 'term': 'Ovqat', 'to': 5}
 {'from': 7, 'polarity': 'positive', 'term': 'atmosfera', 'to': 16}
 {'from': 18, 'polarity': 'positive', 'term': 'hamma narsa', 'to': 29}]","[{'category': 'boshqalar', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1895#1,Hammasi juda mazali!,"[{'from': 0, 'polarity': 'positive', 'term': 'Hammasi', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2636#6,"Men Toshkentdagi yana ikkita boshqa Hind restoranlarida bo'lganman, lekin bu ularning ichida eng eng yaxshi bo'ldi.","[{'from': 37, 'polarity': 'positive', 'term': ' Hind restoranlarida', 'to': 57}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1407#1,Juda yomon xizmat.,"[{'from': 11, 'polarity': 'negative', 'term': 'xizmat', 'to': 17}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
2386#2,"Bunday yirik joylarda mijozlar ko'p bo'lgani uchun xizmat ko'rsatish va ovqatlanishda kechikishlar mavjud, ammo bu yerda juda gavjum oshxona va xizmat ko'rsatish guruhi bor va hech qanday muammo yo'q edi.","[{'from': 7, 'polarity': 'neutral', 'term': 'yirik joylarda', 'to': 21}
 {'from': 51, 'polarity': 'negative', 'term': 'xizmat', 'to': 57}
 {'from': 72, 'polarity': 'negative', 'term': 'ovqatlanishda', 'to': 85}
 {'from': 133, 'polarity': 'positive', 'term': 'oshxona', 'to': 140}
 {'from': 188, 'polarity': 'positive', 'term': 'muammo', 'to': 194}]","[{'category': 'muhit', 'polarity': 'neutral'}
 {'category': 'xizmat', 'polarity': 'conflict'}
 {'category': 'ovqat', 'polarity': 'conflict'}
 {'category': 'boshqalar', 'polarity': 'positive'}]"
1442#1,"Menga taom yoqdi, ajoyib xizmat, hattoki, interyer ham e'tiborimni tortdi.","[{'from': 42, 'polarity': 'positive', 'term': 'interyer', 'to': 50}
 {'from': 6, 'polarity': 'positive', 'term': 'taom', 'to': 10}
 {'from': 25, 'polarity': 'positive', 'term': 'xizmat', 'to': 31}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
2242#3,Faqat Margarita bor.,"[{'from': 6, 'polarity': 'neutral', 'term': 'Margarita', 'to': 15}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
2693#3,ular olgan narx uchun - barcha taomlar unchalik mazali emas edi va hind ziravorlari juda kam edi.,"[{'from': 11, 'polarity': 'neutral', 'term': 'narx', 'to': 15}
 {'from': 67, 'polarity': 'negative', 'term': 'hind ziravorlari', 'to': 83}
 {'from': 31, 'polarity': 'negative', 'term': 'taomlar', 'to': 38}]","[{'category': 'narx', 'polarity': 'neutral'}
 {'category': 'ovqat', 'polarity': 'negative'}]"
2323#7,"Men unchalik ko'p ovqatlanmadim, lekin kokteyl ichmoqchiman.",[],"[{'category': 'ovqat', 'polarity': 'neutral'}]"
759#2,O'zbek taomlari haqida birinchi taassurot qoldirganliklari uchun ularga rahmat.,"[{'from': 0, 'polarity': 'neutral', 'term': ""O'zbek taomlari"", 'to': 15}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
2019#1,Yaxshi Turkiya restorani,"[{'from': 15, 'polarity': 'positive', 'term': 'restorani', 'to': 24}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2305#4,"Umuman olganda, men hammaga tashrif buyurishni maslahat beraman))","[{'from': 20, 'polarity': 'positive', 'term': 'hammaga', 'to': 27}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
24#5,Bundan mazaliroq joy topish qiyin,"[{'from': 17, 'polarity': 'positive', 'term': 'joy', 'to': 20}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
232#5,"Nomini eslolmayman, lekin hammaga sinab ko'rishni maslahat beraman.","[{'from': 0, 'polarity': 'positive', 'term': 'Nomini eslolmayman', 'to': 18}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1641#6,Olomon.,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
316#1,"Mazali taom, yaxshi joylashuv.","[{'from': 20, 'polarity': 'positive', 'term': 'joylashuv', 'to': 29}
 {'from': 7, 'polarity': 'positive', 'term': 'taom', 'to': 11}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'boshqalar', 'polarity': 'positive'}]"
2470#1,Ideal 5+,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
